[i] Train : 19923
[i] Valid : 2213
[i] pred_bboxes_op : Tensor("SSD_Decode/concat:0", shape=(?, 22890, 4), dtype=float32)
[i] pred_classes_op : Tensor("SSD/Softmax:0", shape=(?, 22890, 21), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(?, 22890, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(?, 22890, 21), dtype=float32)
[i] max_iteration : 62200
[i] decay_iteration : [31100 46650]
[i] iter : 50, loss : 133.3950, focal_loss : 122.1538, giou_loss : 0.7484, l2_reg_loss : 10.4928, train_time : 109sec
[i] iter : 100, loss : 13.0556, focal_loss : 1.9464, giou_loss : 0.6446, l2_reg_loss : 10.4646, train_time : 82sec
[i] iter : 150, loss : 12.5031, focal_loss : 1.4824, giou_loss : 0.5808, l2_reg_loss : 10.4398, train_time : 82sec
[i] iter : 200, loss : 12.2794, focal_loss : 1.3364, giou_loss : 0.5248, l2_reg_loss : 10.4182, train_time : 81sec
[i] iter : 250, loss : 12.1332, focal_loss : 1.2439, giou_loss : 0.4907, l2_reg_loss : 10.3986, train_time : 78sec
[i] iter : 300, loss : 11.9789, focal_loss : 1.1458, giou_loss : 0.4528, l2_reg_loss : 10.3803, train_time : 78sec
[i] iter : 350, loss : 11.8612, focal_loss : 1.0636, giou_loss : 0.4349, l2_reg_loss : 10.3627, train_time : 76sec
[i] iter : 400, loss : 11.7488, focal_loss : 0.9835, giou_loss : 0.4199, l2_reg_loss : 10.3455, train_time : 76sec
[i] iter : 450, loss : 11.7202, focal_loss : 0.9778, giou_loss : 0.4140, l2_reg_loss : 10.3284, train_time : 76sec
[i] iter : 500, loss : 11.6506, focal_loss : 0.9365, giou_loss : 0.4028, l2_reg_loss : 10.3113, train_time : 75sec
[i] iter : 550, loss : 11.5687, focal_loss : 0.8890, giou_loss : 0.3856, l2_reg_loss : 10.2941, train_time : 76sec
[i] iter : 600, loss : 11.5567, focal_loss : 0.8946, giou_loss : 0.3853, l2_reg_loss : 10.2768, train_time : 76sec
[i] iter : 650, loss : 11.4608, focal_loss : 0.8262, giou_loss : 0.3754, l2_reg_loss : 10.2592, train_time : 74sec
[i] iter : 700, loss : 11.4398, focal_loss : 0.8247, giou_loss : 0.3736, l2_reg_loss : 10.2415, train_time : 75sec
[i] iter : 750, loss : 11.3943, focal_loss : 0.8048, giou_loss : 0.3659, l2_reg_loss : 10.2236, train_time : 76sec
[i] iter : 800, loss : 11.3064, focal_loss : 0.7479, giou_loss : 0.3531, l2_reg_loss : 10.2055, train_time : 76sec
[i] iter : 850, loss : 11.2737, focal_loss : 0.7380, giou_loss : 0.3485, l2_reg_loss : 10.1872, train_time : 75sec
[i] iter : 900, loss : 11.2652, focal_loss : 0.7465, giou_loss : 0.3501, l2_reg_loss : 10.1687, train_time : 76sec
[i] iter : 950, loss : 11.1943, focal_loss : 0.7003, giou_loss : 0.3441, l2_reg_loss : 10.1500, train_time : 76sec
[i] iter : 1000, loss : 11.1962, focal_loss : 0.7221, giou_loss : 0.3429, l2_reg_loss : 10.1312, train_time : 76sec
[i] iter : 1050, loss : 11.1414, focal_loss : 0.6923, giou_loss : 0.3368, l2_reg_loss : 10.1123, train_time : 75sec
[i] iter : 1100, loss : 11.1042, focal_loss : 0.6760, giou_loss : 0.3350, l2_reg_loss : 10.0932, train_time : 76sec
[i] iter : 1150, loss : 11.0726, focal_loss : 0.6698, giou_loss : 0.3289, l2_reg_loss : 10.0739, train_time : 74sec
[i] iter : 1200, loss : 11.0356, focal_loss : 0.6498, giou_loss : 0.3313, l2_reg_loss : 10.0546, train_time : 75sec
[i] iter : 1250, loss : 10.9893, focal_loss : 0.6298, giou_loss : 0.3245, l2_reg_loss : 10.0351, train_time : 75sec
[i] iter : 1300, loss : 10.9642, focal_loss : 0.6233, giou_loss : 0.3255, l2_reg_loss : 10.0154, train_time : 75sec
[i] iter : 1350, loss : 10.9421, focal_loss : 0.6240, giou_loss : 0.3225, l2_reg_loss : 9.9956, train_time : 75sec
[i] iter : 1400, loss : 10.9254, focal_loss : 0.6290, giou_loss : 0.3206, l2_reg_loss : 9.9757, train_time : 75sec
[i] iter : 1450, loss : 10.8636, focal_loss : 0.5960, giou_loss : 0.3118, l2_reg_loss : 9.9557, train_time : 76sec
[i] iter : 1500, loss : 10.8543, focal_loss : 0.6051, giou_loss : 0.3135, l2_reg_loss : 9.9357, train_time : 75sec
[i] iter : 1550, loss : 10.8028, focal_loss : 0.5767, giou_loss : 0.3106, l2_reg_loss : 9.9155, train_time : 75sec
[i] iter : 1600, loss : 10.7841, focal_loss : 0.5823, giou_loss : 0.3066, l2_reg_loss : 9.8952, train_time : 76sec
[i] iter : 1650, loss : 10.7671, focal_loss : 0.5845, giou_loss : 0.3076, l2_reg_loss : 9.8749, train_time : 75sec
[i] iter : 1700, loss : 10.7356, focal_loss : 0.5752, giou_loss : 0.3059, l2_reg_loss : 9.8545, train_time : 76sec
[i] iter : 1750, loss : 10.6848, focal_loss : 0.5484, giou_loss : 0.3024, l2_reg_loss : 9.8340, train_time : 76sec
[i] iter : 1800, loss : 10.6920, focal_loss : 0.5732, giou_loss : 0.3054, l2_reg_loss : 9.8134, train_time : 76sec
[i] iter : 1850, loss : 10.6519, focal_loss : 0.5594, giou_loss : 0.2997, l2_reg_loss : 9.7928, train_time : 76sec
[i] iter : 1900, loss : 10.6100, focal_loss : 0.5392, giou_loss : 0.2987, l2_reg_loss : 9.7721, train_time : 76sec
[i] iter : 1950, loss : 10.5874, focal_loss : 0.5415, giou_loss : 0.2945, l2_reg_loss : 9.7514, train_time : 76sec
[i] iter : 2000, loss : 10.5787, focal_loss : 0.5493, giou_loss : 0.2988, l2_reg_loss : 9.7306, train_time : 76sec
[i] iter : 2050, loss : 10.5305, focal_loss : 0.5271, giou_loss : 0.2936, l2_reg_loss : 9.7098, train_time : 76sec
[i] iter : 2100, loss : 10.4926, focal_loss : 0.5160, giou_loss : 0.2878, l2_reg_loss : 9.6888, train_time : 76sec
[i] iter : 2150, loss : 10.4850, focal_loss : 0.5272, giou_loss : 0.2899, l2_reg_loss : 9.6679, train_time : 75sec
[i] iter : 2200, loss : 10.4691, focal_loss : 0.5302, giou_loss : 0.2919, l2_reg_loss : 9.6470, train_time : 76sec
[i] iter : 2250, loss : 10.4227, focal_loss : 0.5073, giou_loss : 0.2894, l2_reg_loss : 9.6260, train_time : 76sec
[i] iter : 2300, loss : 10.3804, focal_loss : 0.4890, giou_loss : 0.2864, l2_reg_loss : 9.6050, train_time : 75sec
[i] iter : 2350, loss : 10.3985, focal_loss : 0.5264, giou_loss : 0.2883, l2_reg_loss : 9.5839, train_time : 76sec
[i] iter : 2400, loss : 10.3629, focal_loss : 0.5139, giou_loss : 0.2862, l2_reg_loss : 9.5628, train_time : 76sec
[i] iter : 2450, loss : 10.3236, focal_loss : 0.4971, giou_loss : 0.2849, l2_reg_loss : 9.5416, train_time : 76sec
[i] iter : 2500, loss : 10.3162, focal_loss : 0.5084, giou_loss : 0.2873, l2_reg_loss : 9.5204, train_time : 75sec
[i] iter : 2550, loss : 10.2613, focal_loss : 0.4799, giou_loss : 0.2822, l2_reg_loss : 9.4993, train_time : 76sec
[i] iter : 2600, loss : 10.2688, focal_loss : 0.5082, giou_loss : 0.2825, l2_reg_loss : 9.4781, train_time : 76sec
[i] iter : 2650, loss : 10.2313, focal_loss : 0.4925, giou_loss : 0.2819, l2_reg_loss : 9.4568, train_time : 76sec
[i] iter : 2700, loss : 10.1749, focal_loss : 0.4626, giou_loss : 0.2768, l2_reg_loss : 9.4355, train_time : 75sec
[i] iter : 2750, loss : 10.1614, focal_loss : 0.4684, giou_loss : 0.2787, l2_reg_loss : 9.4142, train_time : 75sec
[i] iter : 2800, loss : 10.1443, focal_loss : 0.4752, giou_loss : 0.2762, l2_reg_loss : 9.3929, train_time : 76sec
[i] iter : 2850, loss : 10.1295, focal_loss : 0.4814, giou_loss : 0.2766, l2_reg_loss : 9.3716, train_time : 76sec
[i] iter : 2900, loss : 10.0601, focal_loss : 0.4431, giou_loss : 0.2667, l2_reg_loss : 9.3503, train_time : 75sec
[i] iter : 2950, loss : 10.0608, focal_loss : 0.4596, giou_loss : 0.2722, l2_reg_loss : 9.3290, train_time : 76sec
[i] iter : 3000, loss : 10.0406, focal_loss : 0.4620, giou_loss : 0.2710, l2_reg_loss : 9.3076, train_time : 76sec
[i] iter : 3050, loss : 10.0322, focal_loss : 0.4714, giou_loss : 0.2744, l2_reg_loss : 9.2864, train_time : 75sec
[i] iter : 3100, loss : 9.9943, focal_loss : 0.4620, giou_loss : 0.2672, l2_reg_loss : 9.2651, train_time : 74sec
[i] iter : 3150, loss : 9.9520, focal_loss : 0.4404, giou_loss : 0.2679, l2_reg_loss : 9.2438, train_time : 74sec
[i] iter : 3200, loss : 9.9527, focal_loss : 0.4604, giou_loss : 0.2698, l2_reg_loss : 9.2224, train_time : 75sec
[i] iter : 3250, loss : 9.9184, focal_loss : 0.4527, giou_loss : 0.2646, l2_reg_loss : 9.2010, train_time : 74sec
[i] iter : 3300, loss : 9.9146, focal_loss : 0.4690, giou_loss : 0.2658, l2_reg_loss : 9.1798, train_time : 74sec
[i] iter : 3350, loss : 9.8554, focal_loss : 0.4341, giou_loss : 0.2627, l2_reg_loss : 9.1586, train_time : 75sec
[i] iter : 3400, loss : 9.8534, focal_loss : 0.4544, giou_loss : 0.2616, l2_reg_loss : 9.1374, train_time : 75sec
[i] iter : 3450, loss : 9.8038, focal_loss : 0.4270, giou_loss : 0.2603, l2_reg_loss : 9.1164, train_time : 74sec
[i] iter : 3500, loss : 9.8072, focal_loss : 0.4495, giou_loss : 0.2624, l2_reg_loss : 9.0952, train_time : 74sec
[i] iter : 3550, loss : 9.7607, focal_loss : 0.4304, giou_loss : 0.2562, l2_reg_loss : 9.0741, train_time : 74sec
[i] iter : 3600, loss : 9.7445, focal_loss : 0.4357, giou_loss : 0.2558, l2_reg_loss : 9.0530, train_time : 74sec
[i] iter : 3650, loss : 9.7251, focal_loss : 0.4393, giou_loss : 0.2539, l2_reg_loss : 9.0319, train_time : 74sec
[i] iter : 3700, loss : 9.7014, focal_loss : 0.4377, giou_loss : 0.2528, l2_reg_loss : 9.0109, train_time : 74sec
